feature,importance
glucose,0.8897460807801225
bmi,0.4828289072860456
pregnancies,0.2935705073657485
diabetes_pedigree,0.15306657811713245
age,0.1249629871249481
skin_thickness,0.04482216720621565
blood_pressure,0.002919179290286562
insulin,0.002768766452157801
